Time,Affected_Vehicles,Messages_Received,Affected_And_Received,AVG_Reaction_Time
0.0,0,0,0,0.0
0.5,0,0,0,0.0
1.0,0,0,0,0.0
1.5,0,0,0,0.0
2.0,0,0,0,0.0
2.5,0,0,0,0.0
3.0,0,0,0,0.0
3.5,0,0,0,0.0
4.0,246,246,3,0.0
4.5,249,249,3,0.0
5.0,249,249,3,0.0
5.5,249,249,3,0.0
6.0,249,249,3,0.0
6.5,249,249,3,0.0
7.0,249,249,3,0.0
7.5,249,249,3,0.0
8.0,249,249,3,0.0
8.5,249,249,3,0.0
9.0,249,249,3,0.0
9.5,249,249,3,0.0
10.0,249,249,3,0.0
10.5,249,249,3,0.0
11.0,249,249,3,0.0
11.5,249,249,3,0.0
12.0,249,249,3,0.0
12.5,249,249,3,0.0
13.0,249,249,3,0.0
13.5,249,249,3,0.0
14.0,249,249,3,0.0
14.5,249,249,4,2.625
15.0,249,249,4,2.625
15.5,249,249,4,2.625
16.0,249,249,4,2.625
16.5,249,249,4,2.625
17.0,249,249,4,2.625
17.5,249,249,4,2.625
18.0,249,249,4,2.625
18.5,249,249,4,2.625
19.0,249,249,4,2.625
19.5,249,249,4,2.625
20.0,249,249,4,2.625
20.5,249,249,4,2.625
21.0,249,249,4,2.625
21.5,249,249,4,2.625
22.0,249,249,4,2.625
22.5,249,249,4,2.625
23.0,249,249,4,2.625
23.5,249,249,5,6.0
24.0,249,249,8,11.25
24.5,249,249,9,12.277777777777779
25.0,249,249,9,12.277777777777779
25.5,249,249,9,12.277777777777779
26.0,249,249,9,12.277777777777779
26.5,249,249,9,12.277777777777779
27.0,249,249,9,12.277777777777779
27.5,249,249,10,13.4
28.0,249,249,10,13.4
28.5,249,249,10,13.4
29.0,249,249,10,13.4
29.5,249,249,10,13.4
30.0,249,249,10,13.4
30.5,249,249,10,13.4
31.0,249,249,10,13.4
31.5,249,249,10,13.4
32.0,249,249,11,14.727272727272727
32.5,249,249,11,14.727272727272727
33.0,249,249,11,14.727272727272727
33.5,249,249,11,14.727272727272727
34.0,249,249,11,14.727272727272727
34.5,249,249,12,16.041666666666668
35.0,249,249,13,17.192307692307693
35.5,249,249,13,17.192307692307693
36.0,249,249,14,18.25
36.5,249,249,15,19.2
37.0,249,249,15,19.2
37.5,249,249,15,19.2
38.0,249,249,16,20.125
