Time,Affected_Vehicles,Messages_Received,Affected_And_Received,AVG_Reaction_Time
0.0,0,0,0,0.0
0.5,0,0,0,0.0
1.0,0,0,0,0.0
1.5,0,0,0,0.0
2.0,0,0,0,0.0
2.5,0,0,0,0.0
3.0,0,0,0,0.0
3.5,0,0,0,0.0
4.0,3,3,3,0.0
4.5,3,3,3,0.0
5.0,3,3,3,0.0
5.5,3,3,3,0.0
6.0,3,3,3,0.0
6.5,3,3,3,0.0
7.0,3,3,3,0.0
7.5,3,3,3,0.0
8.0,3,3,3,0.0
8.5,3,3,3,0.0
9.0,3,3,3,0.0
9.5,3,3,3,0.0
10.0,3,3,3,0.0
10.5,3,3,3,0.0
11.0,3,3,3,0.0
11.5,3,3,3,0.0
12.0,3,3,3,0.0
12.5,3,3,3,0.0
13.0,3,3,3,0.0
13.5,3,3,3,0.0
14.0,3,3,3,0.0
14.5,4,4,4,0.0
15.0,4,4,4,0.0
15.5,4,4,4,0.0
16.0,4,4,4,0.0
16.5,4,4,4,0.0
17.0,4,4,4,0.0
17.5,4,4,4,0.0
18.0,4,4,4,0.0
18.5,4,4,4,0.0
19.0,4,4,4,0.0
19.5,4,4,4,0.0
20.0,4,4,4,0.0
20.5,4,4,4,0.0
21.0,4,4,4,0.0
21.5,4,4,4,0.0
22.0,4,4,4,0.0
22.5,4,4,4,0.0
23.0,4,4,4,0.0
23.5,5,5,5,0.0
24.0,8,8,8,0.0
24.5,9,9,9,0.0
25.0,9,9,9,0.0
25.5,9,9,9,0.0
26.0,9,9,9,0.0
26.5,9,9,9,0.0
27.0,9,9,9,0.0
27.5,10,10,10,0.0
28.0,10,10,10,0.0
28.5,10,10,10,0.0
29.0,10,10,10,0.0
29.5,10,10,10,0.0
30.0,10,10,10,0.0
30.5,10,10,10,0.0
31.0,10,10,10,0.0
31.5,10,10,10,0.0
32.0,11,11,11,0.0
32.5,11,11,11,0.0
33.0,11,11,11,0.0
33.5,11,11,11,0.0
34.0,11,11,11,0.0
34.5,12,12,12,0.0
35.0,13,13,13,0.0
35.5,13,13,13,0.0
36.0,14,14,14,0.0
36.5,15,15,15,0.0
37.0,15,15,15,0.0
37.5,15,15,15,0.0
38.0,16,16,16,0.0
38.5,17,17,17,0.0
39.0,17,17,17,0.0
39.5,17,17,17,0.0
40.0,18,18,18,0.0
