Time,Affected_Vehicles,Messages_Received,Affected_And_Received,AVG_Reaction_Time
0.0,0,0,0,0.0
0.5,0,0,0,0.0
1.0,0,0,0,0.0
1.5,0,0,0,0.0
2.0,0,0,0,0.0
2.5,0,0,0,0.0
3.0,0,0,0,0.0
3.5,0,0,0,0.0
4.0,48,48,3,0.0
4.5,48,48,3,0.0
5.0,48,48,3,0.0
5.5,48,48,3,0.0
6.0,48,48,3,0.0
6.5,48,48,3,0.0
7.0,48,48,3,0.0
7.5,48,48,3,0.0
8.0,48,48,3,0.0
8.5,48,48,3,0.0
9.0,48,48,3,0.0
9.5,48,48,3,0.0
10.0,48,48,3,0.0
10.5,48,48,3,0.0
11.0,48,48,3,0.0
11.5,48,48,3,0.0
12.0,48,48,3,0.0
12.5,48,48,3,0.0
13.0,48,48,3,0.0
13.5,48,48,3,0.0
14.0,48,48,3,0.0
14.5,69,69,4,0.0
15.0,86,86,4,0.0
15.5,86,86,4,0.0
16.0,86,86,4,0.0
16.5,86,86,4,0.0
17.0,86,86,4,0.0
17.5,86,86,4,0.0
18.0,86,86,4,0.0
18.5,86,86,4,0.0
19.0,86,86,4,0.0
19.5,86,86,4,0.0
20.0,86,86,4,0.0
20.5,86,86,4,0.0
21.0,86,86,4,0.0
21.5,86,86,4,0.0
22.0,86,86,4,0.0
22.5,86,86,4,0.0
23.0,86,86,4,0.0
23.5,90,90,5,0.0
24.0,125,125,8,0.0
24.5,134,134,9,0.0
25.0,134,134,9,0.0
25.5,134,134,9,0.0
26.0,134,134,9,0.0
26.5,134,134,9,0.0
27.0,134,134,9,0.0
27.5,147,147,10,0.0
28.0,147,147,10,0.0
28.5,147,147,10,0.0
29.0,147,147,10,0.0
29.5,147,147,10,0.0
30.0,147,147,10,0.0
30.5,147,147,10,0.0
31.0,147,147,10,0.0
31.5,147,147,10,0.0
32.0,158,158,11,0.0
32.5,161,161,11,0.0
33.0,161,161,11,0.0
33.5,161,161,11,0.0
34.0,161,161,11,0.0
34.5,163,163,12,0.0
35.0,172,172,13,0.0
35.5,175,175,13,0.0
36.0,179,179,14,0.0
36.5,180,180,15,0.0
37.0,185,185,15,0.0
37.5,185,185,15,0.0
38.0,193,193,16,0.0
38.5,195,195,17,0.0
39.0,195,195,17,0.0
39.5,195,195,17,0.0
40.0,197,197,18,0.0
