time,veh_id,x,y,role
200.0,1,0.00,200.25,Forwarder
200.0,2,36.25,500.00,Forwarder
200.0,3,0.00,313.25,Forwarder
200.0,4,0.00,240.00,CH
200.0,5,0.00,250.25,Forwarder
200.0,6,415.75,400.00,Receiver
200.0,7,200.00,308.25,CH
200.0,8,662.75,100.00,Forwarder
200.0,9,200.00,545.50,Forwarder
200.0,11,122.75,100.00,Forwarder
200.0,12,150.75,600.00,Forwarder
200.0,13,122.00,300.00,Forwarder
200.0,14,6.75,300.00,Forwarder
200.0,15,159.75,500.00,Forwarder
200.0,17,21.25,400.00,Forwarder
200.0,18,500.00,502.25,Receiver
200.0,20,259.75,400.00,CH
200.0,22,200.00,283.00,Forwarder
200.0,23,0.00,258.75,Forwarder
200.0,24,0.00,261.50,Receiver
200.0,25,519.75,400.00,Receiver
200.0,26,146.75,300.00,Forwarder
200.0,27,0.00,475.00,Forwarder
200.0,28,200.00,404.75,Receiver
200.0,29,300.00,418.25,Receiver
200.0,30,400.00,391.75,Receiver
200.0,31,171.50,100.00,SCH
200.0,32,147.75,500.00,Forwarder
200.0,33,0.00,446.75,Forwarder
200.0,35,700.00,334.00,Receiver
200.0,36,200.00,333.75,Forwarder
200.0,37,200.00,348.00,Forwarder
200.0,38,233.00,200.00,Receiver
200.0,39,500.00,484.00,Receiver
200.0,40,300.00,482.25,Forwarder
200.0,41,400.00,288.00,Forwarder
200.0,42,300.00,447.25,SForwarder
200.0,43,46.50,500.00,Forwarder
200.0,44,326.50,200.00,Receiver
200.0,45,136.00,100.00,Forwarder
200.0,46,500.00,509.00,Receiver
200.0,47,200.00,391.25,Forwarder
200.0,48,245.00,200.00,Receiver
200.0,49,342.00,400.00,Receiver
200.0,50,200.00,136.00,Forwarder
200.0,51,24.50,500.00,Forwarder
200.0,52,612.75,100.00,Forwarder
200.0,54,200.00,480.50,Forwarder
200.0,55,272.25,400.00,Receiver
200.0,56,200.00,89.00,Receiver
200.0,57,292.00,200.00,Forwarder
200.0,58,200.00,206.00,Forwarder
200.0,59,200.00,148.50,Forwarder
200.0,60,0.00,221.75,Forwarder
200.0,61,149.25,100.00,Forwarder
200.0,63,200.00,491.00,Forwarder
200.0,64,213.00,0.00,Receiver
200.0,65,133.50,300.00,Forwarder
200.0,66,200.00,415.00,Forwarder
200.0,67,220.75,200.00,Receiver
200.0,68,0.00,361.00,Forwarder
200.0,69,304.50,200.00,Receiver
200.0,70,246.00,0.00,Receiver
200.0,71,162.00,600.00,Forwarder
200.0,72,121.25,300.00,SForwarder
200.0,73,0.00,291.25,Forwarder
200.0,74,600.00,95.25,Forwarder
200.0,75,200.00,422.75,Forwarder
200.0,76,100.00,527.25,Forwarder
200.0,78,68.50,500.00,Forwarder
200.0,81,0.00,313.50,Forwarder
200.0,82,414.75,300.00,SForwarder
200.0,83,400.00,267.00,Receiver
200.0,85,200.00,319.50,Forwarder
200.0,86,200.00,112.25,Forwarder
200.0,88,686.50,100.00,Forwarder
200.0,89,400.00,255.00,Receiver
200.0,90,547.25,400.00,Forwarder
200.0,91,600.00,78.50,Forwarder
200.0,92,182.00,100.00,Forwarder
200.0,93,316.75,200.00,Receiver
200.0,94,300.00,430.50,Receiver
200.0,95,200.00,432.50,Receiver
200.0,96,651.25,100.00,Forwarder
200.0,98,200.00,219.75,Forwarder
200.0,99,100.00,562.25,Forwarder
200.0,102,100.00,673.00,Forwarder
200.0,103,531.00,400.00,Receiver
200.0,104,100.00,538.50,Forwarder
200.0,105,500.00,419.25,Forwarder
200.0,107,0.00,291.00,Forwarder
200.0,109,100.00,640.75,Forwarder
200.0,110,700.00,675.75,Receiver
200.0,111,200.00,457.75,Forwarder
200.0,112,419.50,100.00,SForwarder
200.0,113,11.00,500.00,Forwarder
200.0,115,0.00,293.75,Forwarder
200.0,116,700.00,223.50,Receiver
200.0,120,189.25,400.00,Forwarder
200.0,123,200.00,29.25,Forwarder
200.0,125,200.00,122.75,Forwarder
200.0,126,0.00,405.75,Forwarder
200.0,127,400.00,247.50,Receiver
200.0,128,33.25,400.00,Receiver
200.0,129,400.00,298.00,Receiver
200.0,130,307.50,400.00,Receiver
200.0,134,0.00,341.50,Forwarder
200.0,136,200.00,545.50,SForwarder
200.0,137,175.00,600.00,Forwarder
200.0,138,0.00,299.00,Forwarder
200.0,139,468.75,400.00,Forwarder
200.0,141,91.75,500.00,Forwarder
200.0,142,400.00,365.25,SForwarder
200.0,144,390.50,400.00,Receiver
